>MA0001.1 AGL3
>MA0002.1 RUNX1
>MA0003.1 TFAP2A
>MA0004.1 Arnt
>MA0005.1 AG
>MA0006.1 Arnt::Ahr
>MA0007.1 Ar
>MA0008.1 HAT5
>MA0009.1 T
>MA0010.1 br_Z1
>MA0011.1 br_Z2
>MA0012.1 br_Z3
>MA0013.1 br_Z4
>MA0014.1 Pax5
>MA0015.1 Cf2_II
>MA0016.1 usp
>MA0017.1 NR2F1
>MA0018.1 CREB1
>MA0019.1 Ddit3::Cebpa
>MA0020.1 Dof2
>MA0021.1 Dof3
>MA0022.1 dl_1
>MA0023.1 dl_2
>MA0024.1 E2F1
>MA0025.1 NFIL3
>MA0026.1 Eip74EF
>MA0027.1 En1
>MA0028.1 ELK1
>MA0029.1 Evi1
>MA0030.1 FOXF2
>MA0031.1 FOXD1
>MA0032.1 FOXC1
>MA0033.1 FOXL1
>MA0034.1 Gamyb
>MA0035.1 Gata1
>MA0036.1 GATA2
>MA0037.1 GATA3
>MA0038.1 Gfi
>MA0039.1 Klf4
>MA0040.1 Foxq1
>MA0041.1 Foxd3
>MA0042.1 FOXI1
>MA0043.1 HLF
>MA0044.1 HMG-1
>MA0045.1 HMG-I/Y
>MA0046.1 HNF1A
>MA0047.1 Foxa2
>MA0048.1 NHLH1
>MA0049.1 hb
>MA0050.1 IRF1
>MA0051.1 IRF2
>MA0052.1 MEF2A
>MA0053.1 MNB1A
>MA0054.1 myb.Ph3
>MA0055.1 Myf
>MA0056.1 MZF1_1-4
>MA0057.1 MZF1_5-13
>MA0058.1 MAX
>MA0059.1 MYC::MAX
>MA0060.1 NFYA
>MA0061.1 NF-kappaB
>MA0062.1 GABPA
>MA0063.1 Nkx2-5
>MA0064.1 PBF
>MA0065.1 PPARG::RXRA
>MA0066.1 PPARG
>MA0067.1 Pax2
>MA0068.1 Pax4
>MA0069.1 Pax6
>MA0070.1 PBX1
>MA0071.1 RORA_1
>MA0072.1 RORA_2
>MA0073.1 RREB1
>MA0074.1 RXRA::VDR
>MA0075.1 Prrx2
>MA0076.1 ELK4
>MA0077.1 SOX9
>MA0078.1 Sox17
>MA0079.1 SP1
>MA0080.1 SPI1
>MA0081.1 SPIB
>MA0082.1 squamosa
>MA0083.1 SRF
>MA0084.1 SRY
>MA0085.1 Su(H)
>MA0086.1 sna
>MA0087.1 Sox5
>MA0088.1 znf143
>MA0089.1 NFE2L1::MafG
>MA0090.1 TEAD1
>MA0091.1 TAL1::TCF3
>MA0092.1 Hand1::Tcfe2a
>MA0093.1 USF1
>MA0094.1 Ubx
>MA0095.1 YY1
>MA0096.1 bZIP910
>MA0097.1 bZIP911
>MA0098.1 ETS1
>MA0099.1 Fos
>MA0100.1 Myb
>MA0101.1 REL
>MA0102.1 Cebpa
>MA0103.1 ZEB1
>MA0104.1 Mycn
>MA0105.1 NFKB1
>MA0106.1 TP53
>MA0107.1 RELA
>MA0108.1 TBP
>MA0108.2 TBP
>MA0109.1 Hltf
>MA0110.1 ATHB-5
>MA0111.1 Spz1
>MA0112.1 ESR1
>MA0113.1 NR3C1
>MA0114.1 HNF4A
>MA0115.1 NR1H2::RXRA
>MA0116.1 Zfp423
>MA0117.1 Mafb
>MA0118.1 Macho-1
>MA0119.1 TLX1::NFIC
>MA0120.1 id1
>MA0121.1 ARR10
>MA0122.1 Nkx3-2
>MA0123.1 abi4
>MA0124.1 NKX3-1
>MA0125.1 Nobox
>MA0126.1 ovo
>MA0127.1 PEND
>MA0128.1 EmBP-1
>MA0129.1 TGA1A
>MA0130.1 ZNF354C
>MA0131.1 MIZF
>MA0132.1 Pdx1
>MA0133.1 BRCA1
>MA0135.1 Lhx3
>MA0136.1 ELF5
>MA0137.1 STAT1
>MA0138.1 REST
>MA0139.1 CTCF
>MA0140.1 Tal1::Gata1
>MA0141.1 Esrrb
>MA0142.1 Pou5f1
>MA0143.1 Sox2
>MA0144.1 Stat3
>MA0145.1 Tcfcp2l1 
>MA0146.1 Zfx
>MA0147.1 Myc
>MA0148.1 FOXA1
>MA0149.1 EWSR1-FLI1
>MA0062.2 GABPA
>MA0035.2 Gata1
>MA0039.2 Klf4
>MA0138.2 REST
>MA0002.2 RUNX1
>MA0137.2 STAT1
>MA0104.2 Mycn
>MA0047.2 Foxa2
>MA0112.2 ESR1
>MA0065.2 PPARG::RXRA
>MA0150.1 NFE2L2
>MA0151.1 ARID3A
>MA0152.1 NFATC2
>MA0153.1 HNF1B
>MA0154.1 EBF1
>MA0155.1 INSM1
>MA0156.1 FEV
>MA0157.1 FOXO3
>MA0158.1 HOXA5
>MA0159.1 RXR::RAR_DR5
>MA0160.1 NR4A2
>MA0161.1 NFIC
>MA0162.1 Egr1
>MA0163.1 PLAG1
>MA0164.1 Nr2e3
>MA0080.2 SPI1
>MA0018.2 CREB1
>MA0099.2 AP1
>MA0079.2 SP1
>MA0102.2 CEBPA
>MA0165.1 Abd-B
